"","AMBI","microgAMBI","PI","PI5yAvg","PI10yAvg","Redox","Redox5yAvg","Redox10yAvg","OM","OM5yAvg","OM10yAvg"
"Lutimonas",83.7,81.83,78.16,72.41,69.93,81.85,75.63,80.1,76.27,70.93,69.15
"Gilvibacter",45.91,67.51,44.2,49.76,60.39,40.62,47.04,58.59,59.22,51.01,65.62
"Ornithobacterium",0,0,37.14,46.75,45.69,38.52,48.33,47.86,0,0,0
"Hoppeia",0,0,76.61,79.13,81.18,60.03,65.09,64.61,0,0,0
"Jejudonia",0,38.71,35.68,44.12,38.98,29.61,35.51,37.59,0,36.25,41
"Muriicola",82.98,76.09,74.88,73.12,89.37,80.23,82.3,85.1,79.8,85.83,86.28
"Aureitalea",31.94,34.33,63.55,86.1,66.44,20.03,30.66,40.03,46.68,60.75,49.83
"Schleiferia",73.12,79.03,60.04,70.77,82.57,64.97,75.86,76.62,78.12,70.9,80.99
"Fluviicola",0,75.62,0,0,67.49,0,0,0,0,0,0
"Crocinitomix",86.89,0,0,65.45,64.77,0,70.68,93.02,61.9,78.21,74.68
"Salinirepens",0,0,73.06,70.08,73.01,0,74.07,71.28,0,0,0
"Phaeodactylibacter",0,0,78.26,82.32,84.14,72.78,76.91,75.01,68.16,65.38,65.95
"Haliscomenobacter",67.18,66.63,0,0,0,0,59.32,62.21,49.7,61.93,62.14
"Portibacter",75.29,84.84,77.6,82.81,83.28,76.89,81.34,82.04,78.79,81.28,81.56
"Lewinella",78.59,82.3,90.94,86.5,87.16,70.49,76.54,76.34,69,82.25,74.01
"Aureispira",53.03,57.69,0,59.23,66.96,50.89,64.27,68.9,63.41,56.56,60.76
"Flavihumibacter",80.05,71.48,65.97,72.69,71.14,0,63.46,74.91,65.32,65.51,71.11
"Sediminibacterium",0,40.01,39.09,0,37.61,39.93,0,0,0,0,0
"Ferruginibacter",88.63,83.21,0,0,0,0,0,81.27,0,72.45,71.84
"Terrimonas",82.02,74.85,0,0,0,0,0,75.95,68.72,64.05,68.5
