"","AMBI","microgAMBI","PI","PI5yAvg","PI10yAvg","Redox","Redox5yAvg","Redox10yAvg","OM","OM5yAvg","OM10yAvg"
"Bdellovibrionaceae",62.34,66.05,67.18,63.51,64.27,62.94,63.3,67.42,63.03,64.81,64.44
"Sandaracinaceae",66.64,78.08,66.99,68.2,67.24,65.52,70.36,69.71,66.23,72.64,71.14
"Polyangiaceae",50.4,50.12,0,0,0,42.93,0,0,0,0,0
"Nannocystaceae",70.73,78.95,68.44,71.99,70.06,64.01,69.43,71.72,81.91,75.99,87.56
"P3OB-42",0,70.5,0,0,0,0,0,0,0,0,0
"Haliangiaceae",72.09,76.21,66.16,66.96,67.71,67.12,69.72,68.64,71.07,72.1,70.92
"VHS-B3-70",69.79,76.44,68.34,66.42,73.09,75.14,70.09,74.6,72.3,70.23,72.68
"mle1-27",0,53.23,0,34.24,36.1,0,36.81,46.97,38.77,43.53,44.84
"bacteriap25",0,56.74,57.72,56.91,61.01,62.38,0,70.91,55.49,68.34,67.93
"VHS-B4-70",80.09,0,75.48,74.52,75.98,74.77,69.31,70.04,75.74,70.59,71.3
"Blfdi19",66.37,0,70.81,70.02,70.34,61.46,0,66.12,0,0,0
"BIrii41",70.29,0,0,0,72.87,0,66.77,70.33,75.43,66.04,69.73
"UASB-TL25",0,71.38,65.9,0,65,65.78,59.75,67.88,0,67.93,67.74
"Eel-36e1D6",0,71.68,0,0,0,0,0,0,0,0,0
"PS-B29",83.08,0,71.38,69.1,73.3,78.89,72.96,73.83,71.54,71.3,72.21
"MidBa8",87.04,84.33,79.85,80.18,82.51,81.67,80.37,84.15,79.48,81.48,83.66
"Desulfuromonadaceae",0,0,61.93,65.49,66.42,0,72.74,70.55,64.93,61.71,62.47
"Sva1033",92.51,88.89,81.23,75,77.4,81.47,80.87,81.43,78.38,82.77,80.03
"MA-28-I98C",43.87,51.97,0,0,0,0,44.38,0,0,46.11,47.1
"Desulfobacteraceae",78.4,85.11,73.18,76.73,78.91,80.4,78.32,83.02,74.64,76.82,79.27
"Desulfobulbaceae",65.44,75.38,67.01,67.12,73.77,75.54,74.15,70.74,69.51,69.71,71.66
"Desulfarculaceae",0,0,85.63,87.43,81.1,75.04,79.8,82.8,0,68.46,0
"Syntrophaceae",0,81.22,89.73,91.83,88.36,75.05,90.75,93.5,75.03,77.11,75
"Syntrophobacteraceae",73.26,67.92,69.33,74.95,75.29,0,69.78,79.09,82.67,85.52,86.82
"Oligoflexaceae",0,71.33,0,0,0,0,0,0,0,68.1,68.37
"0319-6G20",69.24,0,0,0,71.36,0,68.65,76.25,63.27,68.05,63.82
"Ca. Tenderia family incertae sedis",55.92,48.25,57.94,90.22,70.84,0,51.08,0,55.99,56.93,78.38
"Ruminococcaceae",92.48,85.02,87.84,85.63,86.77,85.68,85.56,84.58,83.45,88.25,87.01
"Lachnospiraceae",85.72,85.16,76.46,77.24,76.78,67.84,74.47,76.54,73.37,74.05,79.87
"Clostridiales vadinBB60 group",59.32,63.23,61.43,69.9,61.99,64.04,67,64.22,65.93,69.75,72.48
"Christensenellaceae",80.55,83.66,80.1,87.56,85.61,82.53,83.34,80.34,85.16,85.6,82.4
"Peptostreptococcaceae",0,0,66.06,68.33,0,60.32,0,0,62.19,65.33,65.97
"Family XI (Clostridiales)",47.91,66.03,0,45.65,48.51,0,91.04,45,47.7,45.81,47.27
"Peptococcaceae",78.5,73.15,71.46,76.26,72.9,67.09,77.83,71.43,71.71,75.1,72.96
"Syntrophomonadaceae",0,45.73,83.58,74.79,71.1,0,53.47,0,0,39.77,40.36
"Defluviitaleaceae",56.34,72.75,61.99,59.9,58.62,52.43,57.49,69.53,57.05,64.46,59.38
"Family XII (Clostridiales)",0,66.56,0,0,0,0,66.44,66.99,0,50.26,61.45
"P. palm C-A 51",47.87,60.65,45.66,67.56,49.74,47.93,52.55,63.88,69.6,57.23,54.91
"Clostridiales Incertae Sedis",0,0,0,0,0,0,0,0,0,12.9,12.84
"TSAC18",0,17.01,0,0,0,0,0,0,0,13.5,0
"GoM-GC232-4463-Bac1",0,63.98,58.12,69.81,69.25,49.42,54.99,58.74,57.39,62.73,61.6
"livecontrolB21",0,35.48,36.43,36.3,37.57,32.62,63.39,47.82,38.51,38.13,37.79
"Streptococcaceae",0,53.31,0,44.95,39.92,0,43.91,40.74,0,0,0
"Carnobacteriaceae",0,0,35.99,37.89,40.27,33.41,52.57,40.65,0,64.57,64.2
"Veillonellaceae",45.95,57.19,0,0,42.59,0,45.06,49.47,40.76,43.83,42.38
"Acidaminococcaceae",45.07,66.05,0,0,0,0,0,0,0,0,0
"Synechococcaceae",0,54.4,0,0,0,0,0,0,0,63.3,58.86
"Pseudoanabaenacea",30.28,40.06,56.59,55.08,56.94,29.83,42.85,41.26,46.55,46.01,56.65
"Cyanobacteriaceae",27.91,32.09,43.52,60.09,60.11,18.58,30.19,35.58,33.58,44.69,76.45
"Micrococcaceae",0,59.09,64.13,0,0,72.31,0,0,62.1,57.33,58.78
"Microbacteriaceae",68.58,74.9,71.44,65.7,68.65,64.78,66.4,85.49,69.16,71.89,72.9
"Intrasporangiaceae",67.34,77.92,66.82,70.8,69.69,0,70.03,83.01,65.11,71.79,73.2
"Beutenbergiaceae",0,44.22,26.48,39.98,45.57,0,41.94,39.38,0,0,0
"Sporichthyaceae",51.97,0,0,0,0,73.21,0,0,0,0,0
"Propionibacteriaceae",61.61,72.71,0,61.39,60.35,60.37,64.2,65.12,0,58.55,64.89
"Nocardioidaceae",80.19,66.36,74.97,71.2,79.45,74.93,77.57,74,71.57,75.42,73.37
"Elev-16S-1332",70.44,67.53,74.22,75.02,73.98,76.52,75.06,72.87,74.05,70.88,73.24
"0319-6M6",0,50.17,0,0,65.35,72.52,0,0,0,0,0
"TM146",74.99,73.66,0,62.66,59.19,0,0,61.23,0,0,0
"Acidimicrobiaceae",71,70.7,80.54,77.1,78.83,73.83,76.34,75.87,73.43,73.23,75.93
"Sva0996 marine group",80.97,92.47,76.17,86.57,84.84,87.28,90.03,90.34,86.96,91.16,91.55
"OM1 clade",75.14,81.06,77.04,74.53,76.85,73.97,80.66,77.98,78.55,82.83,81.2
"Coriobacteriaceae",78.97,84.39,70.03,74.76,77.28,73.98,77.39,80.66,71,77.4,78.8
"Euzebyaceae",66.08,58.59,76.91,62.93,74.17,50.45,67.74,62.76,49.52,56.67,67.04
"Nitriliruptoraceae",62.63,47.27,87.78,74.89,79.53,57.86,63.82,69.05,66.38,85.54,66.49
"Anaerolineaceae",69.89,75.12,69.4,65.57,65.5,71.07,65.39,71.64,65.62,77.91,65.04
"Caldilineaceae",0,63.64,0,0,0,0,0,0,60.46,63.73,63.38
"Trueperaceae",70.58,73.44,84.54,83.57,87.6,69.84,84.39,82.04,65.66,74.42,84.23
"Spirochaetaceae",65.15,73.11,74.78,71.74,72.94,71.92,71.59,74.95,79.72,69.94,73.65
"Leptospiraceae",67.83,79.54,70.67,66.37,71.03,74.96,73.17,75.87,71.56,71.15,72
"Planctomycetaceae",62.6,68.22,66.56,65.98,67.35,64.67,67.55,67.38,64.46,65.91,66.69
"Phycisphaeraceae",77.35,83.19,72.84,79.66,74.17,76.42,82.88,82.25,76.13,82.53,82.8
"AKAU3564 sediment group",44.48,45.31,68.25,45.91,54.88,41.23,43.72,42.9,45.65,50.57,46.12
"Puniceicoccaceae",76.25,0,0,0,0,82.14,81.2,79.39,73.29,69.94,68.12
"Opitutaceae",49.46,43.84,0,0,0,0,0,0,0,0,0
"Verrucomicrobiaceae",90.67,87.41,0,83.91,84.1,0,0,0,77.05,88.9,0
"Rubritalecea",0,70.37,0,59.7,59.71,0,0,58.92,0,0,0
"DEV007",68.47,81.65,66.81,69.94,72.82,66.95,73.87,72.74,68.99,72.87,71.8
"DA101 soil group",74.97,76.51,0,83.4,82.81,0,71.2,81.17,74.89,68.96,74.38
"Lentisphaeraceae",28.43,59.89,0,30.36,37.33,0,32.89,43.64,28.01,36.18,46.54
"BD2-3",53.58,0,58.91,61.04,63.84,67,65.05,61.59,62.35,62.81,65.54
"Arctic95B-14",65.86,77.11,59.54,50.65,51.52,62.51,87.66,89.81,53.38,63.83,65.73
"Arcobacteraceae",0,0,0,0,0,0,0,0,0,0,0
"Thiovulaceae",35,39.21,35.07,39.34,41.71,39.45,41.35,41.69,37.7,35.13,39.01
"H16",0,0,65.08,62.83,62.1,66.06,0,71.39,60.68,0,0
"G55",0,66.47,63.26,64.83,68.39,67.01,62.62,63.6,60.18,53.37,55.96
"Synergistaceae",56.7,93.52,70.17,78.45,69.84,52.46,75.23,91.34,61.4,61.5,52.95
"Blastocatellaceae",0,76.91,64.64,0,0,65.55,0,0,0,0,0
"Acidobacteriaceae",62.67,68.61,0,63.59,71.66,0,59.59,66.45,65.12,59.59,58.42
"Holophagaceae",65.34,60.06,0,0,0,0,43.53,51.72,46.69,50.46,52.74
"Sva0725",84.42,89.26,75.11,79.57,81.03,81.87,88.47,87.23,86.03,90.06,89.85
"ABS-19",0,0,79.66,0,0,90.49,0,0,74.86,0,0
"NS72",84.4,85.55,89.13,67.49,79.61,74.67,83.91,82.84,69.42,77.47,81.71
"CA002",80.35,93.63,79.79,83.33,84.33,88.15,90.8,89.9,88.65,90.4,89.78
"TK85",87.29,92.94,81.6,67.49,75.24,76.16,84.54,77.5,74.96,82.96,86.98
"Acanthopleuribacteraceae",0,0,0,0,0,0,65.75,0,0,0,0
"PAUC26f",65.64,78.06,0,61.53,59.38,65.36,64.26,62.21,61.25,63.43,62.93
"GOUTB8",0,31.19,28.29,0,0,0,0,0,0,0,0
"Nitrospinaceae",39.54,47.4,37.77,39.25,48.11,43.96,42.92,42.21,37.57,40.84,43.08
"ODP1230B8.23",0,78.64,0,0,0,0,0,0,0,0,0
"Nitrospiraceae",74.03,0,0,66.73,67.77,0,72.38,71.02,0,90.36,81.14
"FW13",0,47.47,0,0,0,61.51,51.99,0,58.49,0,0
"ANME-1b",0,0,31.61,27.65,22.68,21.86,21.41,18.5,0,22.45,27.76
"Ca. Nitrosopumilus family incertae sedis",64.2,55.72,56.74,46.68,57.94,40.19,51.88,68.61,51.16,71.55,50.94
"Pedobacter",64.28,69.17,0,0,0,0,0,64.69,0,0,59.75
"Solitalea",46.33,44.17,0,0,0,0,0,0,0,0,0
"Roseivirga",0,0,0,0,22.28,0,0,0,0,0,0
"Marinoscillum",0,67.2,64.47,70.1,68.86,51.19,55.35,62.79,0,51.2,0
"Candidatus Amoebophilus",0,59.34,62.5,65.03,66.07,50.73,62.23,59.26,0,54.7,52.82
"Fulvivirga",49.59,60.43,0,0,0,0,54.58,52.7,0,54.48,47
"Reichenbachiella",39.81,60.85,0,0,0,0,0,0,40.5,59.76,63.34
"Marivirga",0,19.81,18.81,17.66,17.37,0,0,0,0,0,0
"Fabibacter",18.65,40.52,0,37.89,52.76,0,0,0,0,0,55.33
