Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson,Chao1,ACE
ED10_S_Wi2017,24953,24953,5512,5512,3138.4697485973,7.2507640861,0.8416751079,0.9005492808,0.9975285224,12992.8467072308,12314.7493796526
ED10_S_Wi2017RNA,27176,27176,5266,5266,2940.1623324721,7.114962973,0.830311717,0.8909049472,0.996998306,10878.0965809139,10084.5494880546
ED10_S_Wi2018,22655,22655,4238,4238,2603.1680980928,6.8295366674,0.8177277291,0.8684023325,0.9961144066,9757.6847296632,9082.4328593997
ED10_S_Wi2019,39018,39018,7547,7547,3352.1858576276,7.4236612054,0.8314189548,0.9145404386,0.9975881663,15161.2800162146,14157.9066874028
EL05_S_Wi2013,56350,56350,10277,10277,3742.9223668696,7.6808406036,0.8314700426,0.9335432078,0.9976756207,18178.9357546577,16416.9547641963
EL05_S_Wi2015,15779,15779,5744,5744,4335.7117474687,7.7581824758,0.8962872165,0.9263898498,0.9982056042,12588.1216089243,11159.4479638009
EL05_S_Wi2016,44720,44716,8002,7998,3462.8639447506,7.3275715155,0.8153118107,0.899104939,0.9936385072,13461.1452827879,12330.3929440389
EL05_S_Wi2017A,23907,23907,6446,6446,3715.3735778675,7.6423662681,0.8713007507,0.9297017327,0.9984032236,15821.4348101573,14759.6445846477
EL05_S_Wi2017B,32379,32379,8018,8018,3907.4126501754,7.8446558474,0.8726519228,0.9484954805,0.9987327972,17045.9324992022,15577.7460087083
EL05_S_Wi2017RNA,19895,19895,5295,5295,3570.3094369779,7.5336771363,0.8786122916,0.9209415414,0.9981403474,10460.3328504439,9576.6461538462
EL05_S_Wi2018,23387,23387,6804,6804,3936.4183755621,7.6690821696,0.8689916213,0.9264384604,0.99810891,16582.7509264763,15159.5405405405
EL05_S_Wi2018RNA,10273,10273,3860,3860,3822.9595011975,7.3627347136,0.8915425128,0.8925846717,0.996970745,9093.7612796984,8017.2542857143
EL05_S_Wi2019,39523,39523,9430,9430,4109.3422669294,7.9736922083,0.8712845235,0.9582591886,0.9988286569,18940.1064542985,17706.856
EL10_S_Wi2013,50961,50961,10741,10741,4428.6848342273,8.1433812794,0.8773471401,0.9699284261,0.9986152782,15946.5938275305,14878.7147022074
EL10_S_Wi2015,15840,15840,6500,6500,4800.0538405054,7.9112595062,0.9011000322,0.933329706,0.997847557,16296.2104245657,14248.8931364031
EL10_S_Wi2016,30729,30729,7876,7876,3995.1773445249,7.771223561,0.8662050064,0.9371000184,0.9979291516,15471.8442152067,14145.2368775236
EL10_S_Wi2017,25072,25072,6351,6351,3544.4151432018,7.4253681434,0.8479963972,0.9085099046,0.9973676577,15197.180710244,14197.3908996898
EL10_S_Wi2017RNA,22702,22702,5585,5585,3430.2763258909,7.354323133,0.8523945019,0.9034355385,0.9971822272,11796.8954614842,10935.0275715801
EL10_S_Wi2018,25274,25274,6949,6949,3841.5977127399,7.6257607175,0.8620231049,0.9239265783,0.9974066991,16978.033549276,15832.2221153846
EL10_S_Wi2019,36681,36680,9527,9526,4408.5116932675,8.1057813188,0.8847285449,0.9659753118,0.9986575706,17639.6084218049,15883.390625
EM05_S_Wi2013,44640,44640,7738,7738,3286.0649636638,7.3296916343,0.8186033833,0.905185607,0.9968289175,13752.0747867322,12508.6798959011
EM05_S_Wi2015,19290,19290,4531,4531,3071.249696456,6.8864692404,0.8179969498,0.8576097893,0.9925951044,9436.530119513,8628.7481481482
EM05_S_Wi2016,49977,49977,10278,10278,3868.917906617,7.7235168116,0.8360810416,0.9349678157,0.9972320305,20157.264369384,18379.5818759936
EM05_S_Wi2017,21357,21357,5836,5836,3669.5676737325,7.5690096618,0.872830193,0.9221694967,0.9981385506,13195.4540049836,12356.3665943601
EM05_S_Wi2017RNA,25740,25740,6087,6087,3594.6342168749,7.5745383289,0.8692467311,0.9251686322,0.9979688614,10862.2742156086,10122.6417657046
EM05_S_Wi2018,24252,24251,7818,7817,4375.5428538436,7.9361363629,0.8853160892,0.9466053265,0.9986520289,19686.7824457307,18288.8765957447
EM05_S_Wi2019,29688,29687,7092,7091,3579.6865509455,7.4840984447,0.8440659222,0.9145876245,0.9975889237,16166.8473861594,14809.1474414571
EM10_S_Wi2013,49736,49735,7954,7953,3163.329905248,7.2078513901,0.8025282398,0.894343104,0.9944919372,14689.7183713072,13723.6131078224
