"","x"
"EOI20_WBM_Su2018",22483
"EOI20_WPM_Au2017",28689
"EOI20_WPM_Au2018",65786
"EOI20_WPM_Sp2017",40454
"EOI20_WPM_Sp2018",24775
"EOI20_WPM_Su2017",34418
"EOI20_WPM_Su2018",28822
"EOI20_WPM_Wi2018",33046
"EOI20_WPM_Wi2019",39979
"EOK05_S_Su2017",22107
"EOK05_S_Su2017RNA",20998
"EOK05_S_Su2018",22129
"EOK05_S_Wi2013",22024
"EOK05_S_Wi2015",19338
"EOK05_S_Wi2016",62647
"EOK05_S_Wi2017",64244
"EOK05_S_Wi2017RNA",34447
"EOK05_S_Wi2018",25584
"EOK05_S_Wi2018RNA",30143
"EOK05_S_Wi2019",40687
"EOK05_WBM_Su2017",22080
"EOK05_WBM_Su2018",20093
"EOK05_WPM_Au2017",22612
"EOK05_WPM_Au2018",45940
"EOK05_WPM_Sp2017A",40244
"EOK05_WPM_Sp2017B",41042
"EOK05_WPM_Sp2018A",41572
"EOK05_WPM_Sp2018B",41008
"EOK05_WPM_Su2017",25048
"EOK05_WPM_Su2018",31552
"EOK05_WPM_Wi2018",61062
"EOK05_WPM_Wi2019",47593
"EOK10_S_Su2017",22333
"EOK10_S_Su2018",25269
"EOK10_S_Wi2013",56686
"EOK10_S_Wi2013RNA",34053
"EOK10_S_Wi2015",24478
"EOK10_S_Wi2016",65846
"EOK10_S_Wi2017",27401
"EOK10_S_Wi2017RNA",35867
"EOK10_S_Wi2018",17119
"EOK10_S_Wi2018RNA",23455
"EOK10_S_Wi2019",49422
"EOK10_WBM_Su2017",29452
"EOK10_WBM_Su2018",35258
"EOK10_WPM_Au2017",35014
"EOK10_WPM_Au2018",48057
"EOK10_WPM_Sp2017",25080
"EOK10_WPM_Sp2018",21288
"EOK10_WPM_Su2017",30156
"EOK10_WPM_Su2017_Taq",5224
"EOK10_WPM_Su2018",37838
"EOK10_WPM_Wi2018",30226
"EOK10_WPM_Wi2019",38522
"EOK20_S_Su2017",34580
"EOK20_S_Su2018",26454
"EOK20_S_Wi2013_PS",9544
"EOK20_S_Wi2015",50418
"EOK20_S_Wi2016",59542
"EOK20_S_Wi2017",21768
"EOK20_S_Wi2018",25845
"EOK20_S_Wi2019",36527
"EOK20_WBM_Su2017",22118
"EOK20_WBM_Su2018",23449
"EOK20_WPM_Au2017",25543
"EOK20_WPM_Au2018",36963
"EOK20_WPM_Sp2017",23829
"EOK20_WPM_Sp2018",22028
"EOK20_WPM_Su2017",24098
"EOK20_WPM_Su2018",32666
"EOK20_WPM_Wi2018",26441
"EOK20_WPM_Wi2019",42654
"E_Sukarrieta_S_Su2019A",50594
"E_Sukarrieta_S_Su2019B",41436
"ESVB1_S_Su2018",12018
"ESVB1_WPM_Su2018",18871
"ESVB2_S_Su2018",21449
"ESVB2_WPM_Su2018",13250
"ESVB3_S_Su2018",13811
"ESVB4_S_Su2018",16927
"ESVB5_S_Su2018",32954
"EU05_S_Wi2013",22113
"EU05_S_Wi2013RNA",32319
"EU05_S_Wi2015",2853
"EU05_S_Wi2016",35483
"EU05_S_Wi2017",20452
"EU05_S_Wi2017RNA",23854
"EU05_S_Wi2018",24199
"EU05_S_Wi2018RNA",18845
"EU05_S_Wi2019",49529
"EU08_S_Su2017",44094
"EU08_S_Su2018",26770
"EU08_S_Wi2013",55346
"EU08_S_Wi2013RNA",33211
"EU08_S_Wi2015",19975
"EU08_S_Wi2016",42577
"EU08_S_Wi2017",22891
"EU08_S_Wi2017RNA",34976
"EU08_S_Wi2018",25839
"EU08_S_Wi2018RNA",34198
"EU08_S_Wi2019",48317
"EU08_WBM_Su2017",26700
"EU08_WBM_Su2018",50741
"EU08_WPM_Au2017",32090
"EU08_WPM_Au2018",28039
"EU08_WPM_Sp2017",26862
"EU08_WPM_Sp2018",54718
"EU08_WPM_Su2017",30023
"EU08_WPM_Su2018",33562
"EU08_WPM_Wi2018",47662
"EU08_WPM_Wi2019",56860
"EU10_S_Su2017",55542
"EU10_S_Su2018A",16827
"EU10_S_Wi2013",24809
"EU10_S_Wi2015",24112
"EU10_S_Wi2016",43956
"EU10_S_Wi2017",29876
"EU10_S_Wi2018",25311
"EU10_S_Wi2019",50161
"EU10_WBM_Su2017",44156
"EU10_WBM_Su2018",74253
"EU10_WPM_Au2017",76295
"EU10_WPM_Au2018",41927
"EU10_WPM_Sp2017",49772
"EU10_WPM_Sp2018",48661
"EU10_WPM_Su2017",45488
"EU10_WPM_Su2018",41545
"EU10_WPM_Wi2018",46229
"EU10_WPM_Wi2019A",50921
"EU10_WPM_Wi2019B",53888
"EUR05_S_Wi2013",25920
"EUR05_S_Wi2015",38309
"EUR05_S_Wi2015RNA",24510
"EUR05_S_Wi2016",35086
"EUR05_S_Wi2016RNA",23871
"EUR05_S_Wi2017",17847
"EUR05_S_Wi2017RNA",30697
"EUR05_S_Wi2018",23982
"EUR05_S_Wi2018RNA",19238
"EUR05_S_Wi2019",35433
"EUR05_S_Wi2019RNA",25988
"EUR10_S_Wi2013",13104
"EUR10_S_Wi2015",70787
"EUR10_S_Wi2016",34988
"EUR10_S_Wi2017",16132
"EUR10_S_Wi2018",21481
"EUR10_S_Wi2019",42087
"I01",53664
"I02",74213
"I03",82845
"I04.1",82785
"I04.2",53789
"I05",106335
"I06",42019
"I07",58532
"I08",104282
"I09",139611
"I10",114497
"I11",62879
"LBI10_S_Wi2013_PS",19604
"LD10_S_Wi2013_PS_A",39523
"LD10_S_Wi2013_PS_B",37601
"LL10_S_Wi2013_PS",58468
"LL20_S_Wi2013_PS",8954
"LN10_S_Wi2013_PS",75130
"LN10_S_Wi2017",46069
"LN20_S_Wi2013_PS",75130
"LN20_S_Wi2017",42014
"LN20_WPM_Sp2017_Taq",105579
"LO10_S_Wi2013_PS",20175
"LOI10_S_Wi2013_PS",76283
"LOK10_S_Wi2013",95577
"LOK10_S_Wi2013RNA",53729
"LOK10_WPM_Su2017",22178
"LRF10_S_Wi2013_PS",28361
"LRF20_S_Wi2013_PS",72722
"LU10_S_Wi2013_PS",45756
"LUR20.Abr16",12652
"LUR20.Apr15",67544
"LUR20.Apr17",67741
"LUR20.Apr18",56056
"LUR20.Apr19",64120
"LUR20.Aug15",25160
"LUR20.Aug16",64900
"LUR20.Aug17",74917
"LUR20.Aug18",24578
"LUR20.Dec15",61443
"LUR20.Dec16",67478
"LUR20.Feb15",60977
"LUR20.Feb16",78540
"LUR20.Feb17",1293
"LUR20.Feb18",41090
"LUR20.Feb19",42103
"LUR20.Jan16",74260
"LUR20.Jan17",64293
"LUR20.Jan18",44843
"LUR20.Jan19",61539
"LUR20.Jul15",63562
"LUR20.Jul16",59929
"LUR20.Jul17",83763
"LUR20.Jul18",5299
"LUR20.Jun15",13681
"LUR20.Jun16",72448
"LUR20.Jun17",61605
"LUR20.Jun18",1760
"LUR20.Mar15",50577
"LUR20.Mar16",14317
"LUR20.Mar17",63560
"LUR20.Mar18",42867
"LUR20.Mar19",55419
"LUR20.May15",52120
"LUR20.May16",74985
"LUR20.May18",80533
"LUR20.May19",49986
"LUR20.Nov15",11624
"LUR20.Nov16",57871
"LUR20.Nov17",84399
"LUR20.Nov18",70244
"LUR20.Oct15",11285
"LUR20.Oct17",79063
"LUR20.Oct18",82218
"LUR20.Sep15",51241
"LUR20.Sep16",12863
"LUR20.Sep17",63140
"LUR20_S_Wi2013_PS",47960
"LUR20_S_Wi2017",54381
"LUR20_W_TS2015.09.15_D",57813
"LUR20_W_TS2015.11.15_D",46006
"LUR20_W_TS2016.06.15_D",49086
"PB01_S_Su2017",18830
"PB02_S_Su2017",29062
"PB03_S_Su2017",25568
"PB04_S_Su2017",26577
